nama,pendapatan,alamat
Wahyudi Hartono,2550000,"Jl. Ciherang, Bojongkunci, Kec. Pameungpeuk, Kabupaten Bandung"
Jaya Pranowo,4780000,"Bojongkunci, Kec. Pameungpeuk, Kabupaten Bandung"
Satria Wijaya,18000000,"Sompok, Sangkanhurip, Kec. Katapang, Kabupaten Bandung"
Bagas Kusumo,4320000,"Jl. Kopo Sayati No.167, Sayati, Kec. Margahayu, Kabupaten Bandung"
Guntur Prabowo,2920000,"Jl. Cibuntu Barat, Cibuntu, Kec. Bandung Kulon, Kota Bandung"
Wisnu Adi,1530000,"Jl. Raya Kopo Jl. Pakasih No.1, Kb. Lega, Kec. Bojongloa Kidul, Kota Bandung"
Darmawan Wijaya,900000,"Jl. Raya Cibabat No.361, Cigugur Tengah, Kec. Cimahi Tengah, Kota Cimahi"
Hendro Utomo,5640000,"Jl. Cikutra No.20, Neglasari, Kec. Cibeunying Kaler, Kota Bandung"
Purwanto Setiawan,22000000,"Jl. Pasir Jati Timur No.2, Cigending, Kec. Ujung Berung, Kabupaten Bandung"
Agus Supriyanto,6565000,"Jl. Salak No.234, Lkr. Sel., Kec. Lengkong, Kota Bandung"
Slamet Rahardjo,4555000,"Jl. Pungkur No.8 A, Pungkur, Kec. Regol, Kota Bandung"
Hadi Kusumo,9250000,"Jl. Gegerkalong Hilir No.8, Gegerkalong, Kec. Sukasari, Kota Bandung"
Pranata Wibisono,3230000,"Jl. Gegerkalong Hilir No.134, Gegerkalong, Kec. Sukasari, Kota Bandung"
Wibowo Haryanto,1234000,"Jl. Komp. Parahyangan Permai, Kec. Parongpong, Kabupaten Bandung Barat"
Budiarto Santoso,2345000,"Jl. Dr. Setiabudi No.345, Isola, Kec. Sukasari, Kota Bandung"
Wisnuaji Kusumo,3456000,"Jl. Setiabudhi Dalam, Ledeng, Bandung, Kota Bandung"
Sugeng Riyadi,500000,"Jl. Hegarmanah No.1, Hegarmanah, Kec. Cidadap, Kota Bandung"
Widi Nugroho,720000,"Jl. Abdul Rahman Saleh No.8, Husen Sastranegara, Kec. Cicendo, Kota Bandung"
Jatmiko Prabowo,4675000,"Jl. Soekarno Hatta No.11, Babakan Ciparay, Kec. Babakan Ciparay, Kota Bandung"
Mulyono Wicaksono,6340000,"Jl. Cihonje-Batukarut, Lebakwangi, Kec. Arjasari, Kabupaten Bandung"
Prasetyo Adi,2567000,"Komplek Bukit Jagabaya Asri F6 No.4, Jagabaya, Kec. Cimaung, Kabupaten Bandung"
Bambang Triyono,7890000,"Lebak Kancas, RT/RW 004/005, Desa, Nagrak, Kec. Pacet, Kabupaten Bandung"
Suharto Prasetyo,9870000,"Jl. Babakan Setia, Srirahayu, Kec. Cikancung, Kabupaten Bandung"
Surono Hadi,7650000,"Pasir pari, RT.02 rw11, Cimekar, Kec. Cileunyi, Kabupaten Bandung"
Agus Triaji,4390000,"Jl. Jeep Station, Cimenyan, Kec. Cimenyan, Kabupaten Bandung"
Riyanto Santoso,1950000,"Jl. Bojong Koneng No.87, Cibeunying, Cimenyan, Kota Bandung"
Gunawan Wicaksono,950000,"Jl. Tubagus Ismail No.245, Sekeloa, Kecamatan Coblong, Kota Bandung"
Kurniawan Setiadi,840000,"Jl. Sukamukti, RT.03/RW.09, Pagerwangi, Kec. Lembang, Kabupaten Bandung Barat"
Sigit Santosa,775000,"Jl. Raya Lembang No.16, Gudangkahuripan, Kec. Lembang, Kabupaten Bandung Barat"
Satriyo Prasetyo,12560000,"Jl. Barunagri, Kp. Cipariuk, Ds, Sukajaya, Kec. Lembang, Kabupaten Bandung Barat"
Haryono Wijaya,15750000,"Jl. Karyawangi No.98, Karyawangi, Kec. Parongpong, Kabupaten Bandung Barat"
Bagaskoro Setiawan,8505000,"Jl. Camara No.22, Sariwangi, Kec. Parongpong, Bandung"
Wahyu Kusumo,3853000,"Jl. Lengkong Kecil, Paledang, Kec. Lengkong, Kota Bandung"
Yudha Wicaksono,4506500,"Jl. Uranus Utama I No.9, Sekejati, Kec. Buahbatu, Kota Bandung"
Prasetyo Wibowo,20740000,"Jl. Kinagara No.22, Lengkong, Kec. Bojongsoang, Kabupaten Bandung"
Dwi Setyawan,45450000,"Jl. Pasir Salam IX No.34, Ancol, Kec. Regol, Kota Bandung"
Heru Setiadi,23235000,"Jl. Raya Laswi, Baleendah, Kec. Baleendah, Kabupaten Bandung"
Widodo Prasetyo,4680000,"Perumahan Calistha Dago Residence Kav. 30, Kec. Cibeunying Kaler, Kota Bandung"
Sugiono Haryanto,450000,"Jl. Raya Laswi No.69, Gunungleutik, Kec. Ciparay, Kabupaten Bandung"
Joko Susanto,5975000,"Sarimahi, Kec. Ciparay, Kabupaten Bandung"
Slamet Kusumo,2500000,"Jl. Raya Sapan No. 8, Tegalluar, Kec. Bojongsoang, Kabupaten Bandung"
Hadi Suryono,895000,"Jl. Gedebage Selatan, Rancabolang, Kec. Gedebage, Kota Bandung"
Prayitno Wicaksono,9253000,"Jl. Soekarno Hatta No.35 A, Jatisari, Kec. Buahbatu, Kota Bandung"
Budi Santoso,4520000,"Jl. BKR No.1, Ancol, Kec. Regol, Kota Bandung"
Raharjo Haryanto,7945000,"Blok Ager Sari, RT.05/12. Kel :, Babakan, Kec. Babakan Ciparay, Kota Bandung"
Wijaya Adi,35000000,"Jl. Terusan Pasirkoja No.27, Sukahaji, Kec. Babakan Ciparay, Kota Bandung"
Kusumo Satrio,22525000,"Jl. Suparmin Gg. Merpati I No.1, Pajajaran, Kec. Cicendo, Kota Bandung"
Triadi Santosa,18950000,"Jl. Cilengkrang II, Palasari, Kec. Cibiru, Kota Bandung"
Setiawan Sujono,4794000,"Jl. A.H. Nasution No.31, Pesanggrahan, Kec. Ujung Berung, Kota Bandung"
Pratama Wicaksono,9250000,"Jl. A.H. Nasution No.35, RT.1/RW.1, Cigending, Kec. Ujung Berung, Kota Bandung"
Wibowo Kusumo,10740000,"Jl. Bumi Mas Kencana No.15, Antapani Wetan, Kec. Antapani, Kota Bandung"
Santoso Prasetyo,5252000,"Jl. Purnawarman No.52, Tamansari, Kec. Bandung Wetan, Kota Bandung"
Purnomo Wijaya,350000,"JL. Bojongloa No. 18 A, Astanaanyar, Panjunan, Kec. Astanaanyar, Kota Bandung"
Suharyono Setiadi,785000,"Jl. Kopo Permai I, Sukamenak, Margahayu, Kabupaten Bandung"
Agung Wicaksono,9242000,"Gading Junti Asri Blok M1 No 05, Sangkanhurip, Kec. Katapang, Kabupaten Bandung"
Hari Santoso,7545000,"Soreang Residence No.16, Gandasari, Kec. Katapang, Kabupaten Bandung"
Joko Prasetyo,2345000,"Jalan Bhayangkara Soreang, Pananjung, Kec. Cangkuang, Kabupaten Bandung"
Wijaya Santoso,9865000,"Jl. Parung Serab No.16, Sekarwangi, Kec. Soreang, Kabupaten Bandung"
Sutrisno Prayitno,1050000,"Jl. Cibolerang, Margahayu Utara, Kec. Babakan Ciparay, Kota Bandung"
Harjono Wibisono,4052000,"Jl. Terusan Holis Cibolerang, Margahayu Utara, Kec. Babakan Ciparay, Kota Bandung"
Sudarto Prasetyo,1450000,"Jl. Raya Cijerah No.78, Cijerah, Kec. Bandung Kulon, Kota Bandung"
Sujono Kusumo,2005000,"Jl. Kalasan Raya No.14, Melong, Kec. Cimahi Sel., Kota Cimahi"
Wahyu Santoso,5645000,"Jl. Cipaku Indah II No.8, Ledeng, Kec. Cidadap, Kota Bandung"
Surya Prasetyo,9025000,"Ledeng, Kec. Cidadap, Kota Bandung"
Satrio Prayitno,4065000,"Jl. Terusan Pak Gatot Raya, Gegerkalong, Kec. Sukasari, Kota Bandung"
Wicaksono Santoso,1540000,"Jl. Gegerkalong Girang No.104, Isola, Kec. Sukasari, Kota Bandung"
Prasetyo Haryanto,932000,"Jl. Nusaindah, Gegerkalong, Kec. Sukasari, Kota Bandung"
Kusumo Santoso,725000,"Jl. Sukahaji No.137, Gegerkalong, Sukajadi, Kota Bandung"
Santoso Wijaya,245000,"Jl. Sari Endah No.5, Sukarasa, Kec. Sukasari, Kota Bandung"
Setiawan Haryanto,5432000,"Jl. Sukahaji Permai III, Sukarasa, Kec. Sukasari, Kota Bandung"
Sujono Wicaksono,18500000,"Jl. Setrasari Kulon VII, Sukarasa, Kec. Sukasari, Kota Bandung"
Triadi Santoso,850000,"Jl. Setrasari II, Sukarasa, Kec. Sukasari, Kota Bandung"
Budi Kusumo,7435000,"Jl. Budisari VII No.11, Hegarmanah, Kec. Cidadap, Kota Bandung"
Haryanto Santoso,5290000,"Jl. Sindang Sirna No.9, Gegerkalong, Kec. Sukasari, Kota Bandung"
Prasetyo Wibowo,4630000,"Jl. Lembah Sukaresmi I No.22, Cipedes, Kec. Sukajadi, Kota Bandung"
Yanto Setiawan,5255000,"Jl. Karang Tineung Indah No.21, Cipedes, Kec. Sukajadi, Kota Bandung"
Rudi Santoso,25000000,"Jl. Raya Perjuangan No. 4, RT.002/RW.001, Tlk. Pucung, Bekasi kota, Kota Bks"
Anton Surya,2545000,"RT.008/RW.002, Tlk. Pucung, Kec. Bekasi Utara, Kota Bks"
Bagus Pratama,6525000,"Jl. Harapan Indah No.01, RT.003/RW.007, Pejuang, Kecamatan Medan Satria, Kota Bks"
Hendra Setiawan,4925000,"Jl. Raya Pulo Gebang No.34, RT.14/RW.4, Ujung Menteng, Kec. Cakung, Kota Jakarta Timur"
Iqbal Maulana,1255000,"Jl. Royal Boulevard No.1, RW.4, Pulo Gebang, Kec. Cakung, Kota Jakarta Timur"
Faisal Kurniawan,2345000,"Setia Asih, Kec. Tarumajaya, Kabupaten Bekasi"
Hendri Saputra,7642000,"Babelan Kota, Kec. Babelan, Kabupaten Bekasi"
Rizal Akbar,1653500,"Perumahan Pondok Permata Blok A9/45, Kedung Pengawas, Kec. Babelan, Kabupaten Bekasi"
Dharma Wijaya,6924500,"Sukatenang, Kec. Sukawangi, Kabupaten Bekasi"
Dino Prasetyo,9875000,"Jl. Kali Abang Samping perumahan Gardenia City, Sukamulya, Kec. Sukatani, Kabupaten Bekasi"
Arya Permana,482000,"Jl. Kp. Srengseng No.3, Sukamulya, Kec. Sukatani, Kabupaten Bekasi"
Dian Setiadi,990500,"Villa kencana, Gg. Apel No.1, Sukajadi, Kec. Sukakarya, Kabupaten Bekasi"
Prima Nugroho,2432000,"Karangsentosa, Kec. Karangbahagia, Kabupaten Bekasi"
Bayu Wibowo,6427000,"Jl. Kenanga V, Sukamanah, Kec. Sukatani, Kabupaten Bekasi"
Heru Purnomo,4521000,"Jl. Kakap V, Karangsetia, Kec. Karangbahagia, Kabupaten Bekasi"
Dika Setiawan,6789000,"Jl. Pilar Sukatani, Sukamantri, Kec. Karangbahagia, Kabupaten Bekasi"
Wahyu Nugraha,2567000,"Jl. Gramapuri Boulevard No.11, Sukajaya, Kec. Cibitung, Kabupaten Bekasi"
Rangga Hidayat,5784000,"Jl. Kp. Wangkal, Sukajaya, Kec. Cibitung, Kabupaten Bekasi"
Yoga Firmansyah,1547000,"Jl. Kp. Rw. Lele No.29, Wanajaya, Kec. Cibitung, Kabupaten Bekasi"
Galang Ramadhan,2587000,"Jl. Metland Cibitung, Wanajaya, Kec. Cikarang Bar., Kabupaten Bekasi"
Arief Saputro,3467000,"Jl. Cibitung Residence, Telaga Asih, Kec. Cikarang Bar., Kabupaten Bekasi"
Dedi Wibisono,7439000,"Jl. Raya Teuku Umar No.24, Telaga Asih, Kec. Cikarang Bar., Kabupaten Bekasi"
Donny Hermawan,1562000,"Jl. H. Saimun Dalam, RT.02/RW.02, Cibuntu, Kec. Cibitung, Kabupaten Bekasi"
Bagas Setiawan,3455000,"Jl. Celebration Boulevard No.18, Lambangjaya, Tambun Selatan, Kabupaten Bekasi"
Indra Prasetya,12567500,"Jl. Graha Harapan No.2, RT.002/RW.001, Mustika Jaya, Kec. Mustika Jaya, Kota Bks"
Yuda Kusuma,2431500,"Jl. Asem Jaya No.6, RT.007/RW.008, Mustika Jaya, Kec. Mustika Jaya, Kota Bks"
Yogi Hermawan,16545500,"Jl. Taman Durian, RT.001/RW.016, Padurenan, Kec. Mustika Jaya, Kota Bks"
Rio Setiawan,2357500,"Jl. Radar Baru Rt.005/002, Kalisari, Kec. Ps. Rebo, Kota Jakarta Timur"
Bima Pratama,4566500,"Jl. Langga Raya No.55, RT.1/RW.2, Lenteng Agung, Kec. Jagakarsa, Kota Jakarta Selatan"
Dito Kurniawan,35435000,"Jl. Klp.3, Mahakam Residence 1, RT.8/RW.6, Lenteng Agung, Kec. Jagakarsa, Kota Jakarta Selatan"
Eko Setiadi,5749500,"Jalan Kebagusan Raya, Pasar Minggu, RT.7/RW.5, Kebagusan, Ps. Minggu, Kota Jakarta Selatan"
Ega Wijaya,724000,"Jl. H. R. Rasuna Said No.RT.6, RT.6/RW.4, Kuningan Tim., Kecamatan Setiabudi, Kota Jakarta Selatan"
Rafi Santoso,935500,"Jl. M.H. Thamrin, RT.2/RW.5, Gondangdia, Kec. Menteng, Kota Jakarta Pusat"
Wawan Suryadi,8435500,"Jl. St. Senen Jl. Pasar Senen No.3, Senen, Kota Jakarta Pusat"
Oki Purnama,14368500,"Jl. Murdai No.19, RT.1/RW.14, Cemp. Putih Bar., Kec. Cemp. Putih, Kota Jakarta Pusat"
Reza Akbar,3465000,"Jl. Setia Budi Utara Raya, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan"
Dedy Wijaya,1765500,"Jl. Menteng Raya No.64, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat"
Dika Setiawan,3573500,"Jl. Pemuda No.1, RT.12/RW.4, Rawamangun, Kec. Pulo Gadung, Kota Jakarta Timur"
Rendra Kusuma,1765000,"Jl. Pori Raya No.12, RT.9/RW.12, Pisangan Tim., Kec. Pulo Gadung, Kota Jakarta Timur"
Bagus Firmansyah,5683000,"Jl. DI. Panjaitan No.4, RT.12/RW.5, Rw. Bunga, Kecamatan Jatinegara, Kota Jakarta Timur"
Iwan Setiawan,1475000,"Jl. Otto Iskandardinata No.44, RT.1/RW.4, Bidara Cina, Kecamatan Jatinegara, Kota Jakarta Timur"
Agus Prasetyo,5684500,"Jl. Cipinang Cempedak I, RT.12/RW.3, Polonia, Kecamatan Jatinegara, Kota Jakarta Timur"
Ilham Surya,1654500,"Jl. Bali Raya No. 23, RT.4/RW.16, Cipinang Melayu, Kec. Makasar, Kota Jakarta Timur"
Yudha Kurniawan,3568500,"RT.1/RW.14, Halim Perdana Kusumah, Kec. Makasar, Kota Jakarta Timur"
Dani Setiawan,2615000,"Jl. Raya Protokol Halim Perdanakusuma No.8, Halim Perdana Kusumah, Jakarta, Kota Jakarta Timur"
Ferdi Nugroho,3546500,"Jl. Jengki Gg. Asem, RT.003/011/RW.no 28, Kb. Pala, Kec. Makasar, Kota Jakarta Timur"
Rama Pratama,2469000,"Jl. Pusdiklat Depnaker No.41, RT.8/RW.6, Makasar, Kec. Makasar, Kota Jakarta Timur"
Fajar Wibowo,3578000,"Jl. Reformasi I, RT.17/RW.2, Pinang Ranti, Kec. Makasar, Kota Jakarta Timur"
Ade Saputra,7355000,"Jl. Pengantin Ali No.69, Ciracas, Kec. Ciracas, Kota Jakarta Timur"
Dimas Hermawan,4361500,"Jl. Masjid At-Taufiq, RT.11/RW.11, Klp. Dua Wetan, Kec. Ciracas, Kota Jakarta Timur"
Dwi Setiadi,5471000,"Gg. Duku II No. 120, RT.2/RW.3, Cibubur, Kec. Ciracas, Kota Jakarta Timur"
Wahyu Nugroho,2346500,"Jl. Abdulrahman No.72, RT.1/RW.5, Cibubur"
Yoga Akbar,3573500,"Jl. Swadaya No.2, Mekarsari, Kec. Cimanggis, Kota Depok"
Reza Kusuma,3473000,"RW.5, Pd. Ranggon, Kec. Cipayung, Kota Jakarta Timur"
Hengky Prasetyo,4573000,"Harjamukti, Kec. Cimanggis, Kota Depok"
Rio Hermawan,7854000,"Jl. Kranggan Permai, RT.014/RW.015, Jatisampurna, Kec. Jatisampurna, Kota Bks"
Ilham Suryadi,1463000,"Jl. Raya Pd. Ranggon, RT.1/RW.2, Pd. Ranggon, Kec. Cipayung, Kota Jakarta Timur"
Agus Santoso,3536000,"Jl. Cilangkap Baru No.9, RT.1/RW.1, Cilangkap, Kec. Cipayung, Kota Jakarta Timur"
Dicky Pratama,8542000,"Jl. Raya Ujung Aspal No.15, RT.004/RW.002, Jatiranggon, Kec. Jatisampurna, Kota Bks"
Andi Surya,3471000,"Jl. Komp. Pusertad, RT.006/RW.005, Jatimelati, Kec. Pd. Melati, Kota Bks"
Dian Setiawan,9457000,"Jl. Raya Mabes Hankam No.100, RT.2/RW.5, Setu, Kec. Cipayung, Kota Jakarta Timur"
Rangga Firmansyah,3542500,"Jl. Terminal Kp. Rambutan No.1, RT.11/RW.6, Rambutan, Kec. Ciracas, Kota Jakarta Timur"
Irfan Kusuma,7473000,"Jl. Regalia No.4, Susukan, Kec. Ciracas, Kota Jakarta Timur"
Ade Santoso,3436500,"Premier Terrace CIracas, Blok I No.15, RT.1/RW.5, Ciracas, Kec. Ciracas, Kota Jakarta Timur"
Hadi Wijaya,3657000,"Kampung palsigunung, RT.8/RW.3, Depok, Kec. Cimanggis, Kota Depok"
Yoga Surya,683500,"Gg. H. Sain No.26 MekarsariKec, Kec. Cimanggis, Kota Depok"
Rizal Pratama,4569500,"jl h. Muhid Perumahan kavling kemang, RT.002/RW.8, Sukatani, Kec. Tapos, Kota Depok"
Heri Kurniawan,16487500,"Jl. Pekapuran Rt. 01/05 No. 12A, Kota Depok"
Dani Hermawan,4563000,"Jl. Raya Jakarta-Bogor No.km.34, Sukamaju, Kec. Cilodong, Kota Depok"
Bagus Santoso,4728000,"Jl. Raya Tapos No.82, Cimpaeun, Kec. Tapos, Kota Depok"
Agus Firmansyah,9874000,"Jl. Raya Tapos Jl. Kranji Barat, Ciriung, Kec. Cibinong, Kabupaten Bogor"
Dedy Setiawan,2461000,"Jl. M. A Situ Bahar, Sukamaju, Cilodong, Kota Depok"
Dika Pratama,3537000,"Jl. Keadilan Raya No.13B, Bakti Jaya, Kec. Sukmajaya, Kota Depok"
Rangga Nugroho,2426500,"Jl. Margonda Raya No.58, Pondok Cina, Kecamatan Beji, Kota Depok"
Andri Setiawan,2436500,"Jl. Raya Lenteng Agung No.8, Lenteng Agung, Kec. Jagakarsa, Kota Jakarta Selatan"
Dimas Santoso,4527500,"Jl. Raya Lenteng Agung No.5, RT.5/RW.2, Lenteng Agung, Kec. Jagakarsa, Kota Jakarta Selatan"
Wahyu Hermawan,4247500,"Jl. Raya Pd. Gede No.34, RT.1/RW.2, Dukuh, Kec. Kramat jati, Kota Jakarta Timur"
Ilham Setiawan,8316500,"Jl. Cililitan Besar No.44, RT.7/RW.11, Kb. Pala, Kec. Makasar, Kota Jakarta Timur"
Fajar Nugroho,18456500,"Jl. Cipinang Indah I, RT.4/RW.1, Cipinang Muara, Kecamatan Jatinegara, Kota Jakarta Timur"
Eko Santoso,7184000,"Jl. Betung Raya No. 4 RT/RW 11/5, Pd. Bambu, Duren Sawit, Kota Jakarta Timur"
Ari Surya,3098500,"Jl. Buaran Raya, RT.1/RW.15, Perumnas III, Duren Sawit, Kec. Duren Sawit, Kota Jakarta Timur"
Hengky Akbar,6000000,"Jl. Teratai Putih Raya, RT.9/RW.5, Malaka Jaya, Kec. Duren Sawit, Kota Jakarta Timur"
Bayu Kurniawan,4972000,"Jl. Raya Penggilingan No.14, RT.15/RW.1, Penggilingan, Kec. Cakung, Kota Jakarta Timur"
Rio Pratama,2325000,"Blk. B3 No.1, RT.8/RW.12, Cakung Tim., Kec. Cakung, Kota Jakarta Timu"
Yoga Hermawan,1357000,"Jl. Zebrina VI No.11, RT.13/RW.9, Cakung Tim., Kec. Cakung, Kota Jakarta Timur"
Reza Setiawan,453500,"Jl. Taruna Raya No.4, RT.4/RW.3, Semper Tim., Kec. Cilincing, Jkt Utara"
Dian Hermawan,3521500,"Jl. Fak-fak No.5, RT.6/RW.2, Cilincing, Kec. Cilincing, Jkt Utara"
Iwan Hermawan,4530500,"Jl. Cilincing Baru 5 No.8, RT.3/RW.3, Cilincing, Kec. Cilincing, Jkt Utara"
Yoga Setiawan,4680000,"RT 12 RW.2, Cilincing, Kec. Cilincing, Jkt Utara"
Rama Akbar,8321500,"Kawasan Industri Marunda Center Blok H1 No.6, Kec. Tarumajaya, Kabupaten Bekasi"
Dicky Hermawan,5437500,"Gg. Mandiri 1 No.2, Sagara Makmur, Kec. Tarumajaya, Kabupaten Bekasi"
Bagus Prasetyo,2098500,"Pantai Makmur, Kec. Tarumajaya, Kabupaten Bekasi"
Didi Nugroho,3537500,"Jl. Tarumajaya Raya, Setiamulya, Kec. Tarumajaya, Kabupaten Bekasi"
Hadi Nugroho,6475000,"Kp. Kebon kelapa, RT.2/RW.5, Segarajaya, Kec. Tarumajaya, Kabupaten Bekasi"
Dani Santoso,5317500,"Jl. Reformasi, Cilincing, Kec. Cilincing, Jkt Utara"
Fajar Wijaya,6935000,"Jl. Timor No.11, RT.2/RW.1, Sukapura, Kec. Cilincing, Jkt Utara"
Dimas Pratama,3527500,"Jl. Tipar Cakung No. 49, RT. 06 / RW. 04, RT.06/RW.4, Sukapura, Kec. Cilincing, Jkt Utara"
Agus Setiadi,26345000,"RT.10/RW.8, Cakung Bar., Kec. Cakung, Kota Jakarta Timur"
Ilham Kusuma,3247500,"Jl. Perintis Kemerdekaan No.92, RT.1/RW.8, Pulo Gadung, Kec. Pulo Gadung, Kota Jakarta Timur"
